customer_id,age,age_group,income,product_category,product_name,brand,purchase_frequency,purchase_amount
1001,22,18-25,32000,Electronics,Headphones,Sony,7,2800
1002,24,18-25,35000,Electronics,Smartphone,Samsung,6,22000
1003,21,18-25,30000,Clothing,T-Shirt,Nike,8,1200
1004,23,18-25,31000,Clothing,Jeans,Levis,7,2000
1005,25,18-25,34000,Groceries,Coffee,Nestle,6,500
1006,27,26-35,45000,Electronics,Laptop,HP,5,55000
1007,29,26-35,48000,Electronics,Tablet,Apple,6,35000
1008,31,26-35,52000,Clothing,Jacket,Adidas,7,4000
1009,33,26-35,50000,Home Decor,Wall Lamp,Philips,6,3000
1010,30,26-35,47000,Groceries,Cereal,Kellogg's,8,600
1011,36,36-50,60000,Electronics,Smart TV,Sony,5,45000
1012,38,36-50,65000,Electronics,Speaker,JBL,6,8000
1013,40,36-50,62000,Home Decor,Table Lamp,Philips,7,3500
1014,42,36-50,64000,Groceries,Coffee,Nestle,8,550
1015,45,36-50,67000,Clothing,Shirt,VanHeusen,6,2500
1016,52,50+,70000,Groceries,Rice,IndiaGate,9,1200
1017,55,50+,72000,Groceries,Tea,Tata,8,700
1018,58,50+,75000,Home Decor,Carpet,IKEA,5,5000
1019,60,50+,77000,Clothing,Sweater,AllenSolly,4,3000
1020,53,50+,71000,Electronics,Radio,Panasonic,5,2000
1021,22,18-25,33000,Electronics,Smartwatch,Apple,7,18000
1022,24,18-25,36000,Clothing,Sneakers,Adidas,8,3500
1023,26,26-35,46000,Electronics,Monitor,Dell,6,12000
1024,28,26-35,49000,Clothing,T-Shirt,Puma,7,1500
1025,34,26-35,52000,Groceries,Milk,Amul,9,400
1026,37,36-50,61000,Electronics,Camera,Canon,5,38000
1027,41,36-50,63000,Home Decor,Curtains,IKEA,6,4200
1028,44,36-50,66000,Groceries,Sugar,Tata,8,450
1029,51,50+,69000,Clothing,Jacket,Woodland,4,3500
1030,57,50+,73000,Electronics,DVD Player,Sony,5,2500
1031,23,18-25,34000,Clothing,Hoodie,Nike,7,2200
1032,25,18-25,35000,Groceries,Snacks,PepsiCo,8,300
1033,29,26-35,48000,Home Decor,Clock,Ajanta,6,1800
1034,32,26-35,51000,Electronics,Keyboard,Logitech,7,2500
1035,39,36-50,64000,Clothing,Formal Shirt,Arrow,6,2800
1036,43,36-50,66000,Groceries,Oil,Fortune,8,700
1037,54,50+,72000,Home Decor,Sofa,Godrej,4,25000
1038,59,50+,76000,Groceries,Biscuits,Parle,7,200
1039,24,18-25,35000,Electronics,Earbuds,Boat,8,1800
1040,31,26-35,50000,Clothing,Jeans,Levis,6,2200
1041,19,18-25,28000,Electronics,Headphones,JBL,7,3500
1042,20,18-25,29000,Clothing,T-Shirt,Puma,8,1100
1043,26,26-35,44000,Groceries,Bread,Modern,9,150
1044,28,26-35,47000,Home Decor,Wall Art,IKEA,5,4500
1045,35,26-35,53000,Electronics,Smartphone,OnePlus,6,32000
1046,37,36-50,59000,Clothing,Jeans,Lee,7,2300
1047,39,36-50,62000,Electronics,Tablet,Lenovo,5,22000
1048,41,36-50,64000,Groceries,Flour,Ashirwad,8,350
1049,44,36-50,67000,Home Decor,Lamp,Philips,6,2800
1050,46,36-50,68000,Clothing,Jacket,NorthFace,5,6500
1051,48,36-50,70000,Electronics,Smart TV,LG,4,52000
1052,50,50+,71000,Groceries,Pasta,Barilla,7,250
1053,52,50+,73000,Home Decor,Rug,IKEA,5,3500
1054,55,50+,75000,Clothing,Shirt,Arrow,6,2400
1055,57,50+,77000,Electronics,Speaker,Bose,4,18000
1056,59,50+,79000,Groceries,Honey,Dabur,8,400
1057,61,50+,81000,Clothing,Trousers,VanHeusen,5,3200
1058,63,50+,83000,Home Decor,Curtains,HomeTown,4,3800
1059,65,50+,85000,Electronics,Laptop,Apple,3,95000
1060,67,50+,87000,Groceries,Spices,MDH,7,180
1061,20,18-25,30000,Clothing,Shorts,Adidas,8,1500
1062,22,18-25,32000,Electronics,PowerBank,MI,7,1200
1063,24,18-25,34000,Groceries,Yogurt,Amul,9,80
1064,25,18-25,36000,Home Decor,PhotoFrame,IKEA,6,800
1065,27,26-35,38000,Electronics,Router,TP-Link,7,1500
1066,29,26-35,41000,Clothing,Sweater,H&M,6,1800
1067,31,26-35,44000,Groceries,Cheese,Amul,8,250
1068,33,26-35,47000,Electronics,Smartwatch,Fossil,5,14000
1069,34,26-35,50000,Home Decor,Cushion,IKEA,7,600
1070,36,36-50,53000,Clothing,Blazer,Arrow,4,5500
1071,38,36-50,56000,Electronics,Camera,Nikon,5,42000
1072,40,36-50,59000,Groceries,Juice,Tropicana,8,120
1073,42,36-50,62000,Home Decor,Vase,IKEA,6,900
1074,43,36-50,65000,Clothing,Jeans,Spykar,7,2100
1075,45,36-50,68000,Electronics,Headphones,Sennheiser,5,12000
1076,47,36-50,71000,Groceries,Coffee,Starbucks,6,650
1077,49,36-50,74000,Home Decor,Mirror,IKEA,4,3200
1078,51,50+,76000,Clothing,Jacket,MonteCarlo,5,3800
1079,53,50+,78000,Electronics,Smart TV,Panasonic,4,48000
1080,55,50+,80000,Groceries,Oats,Quaker,7,220
1081,57,50+,82000,Clothing,Shirt,LouisPhilippe,5,3500
1082,59,50+,84000,Home Decor,Clock,Timex,6,1500
1083,61,50+,86000,Electronics,Tablet,Microsoft,3,45000
1084,63,50+,88000,Groceries,Pickles,Patak's,7,180
1085,65,50+,90000,Clothing,Sweater,JohnPlayers,4,2900
1086,18,18-25,26000,Electronics,Earbuds,Noise,8,1300
1087,20,18-25,28000,Clothing,Cap,Nike,9,800
1088,22,18-25,30000,Groceries,EnergyDrink,RedBull,7,150
1089,23,18-25,32000,Home Decor,PlantPot,IKEA,6,400
1090,25,18-25,34000,Electronics,SmartBand,MI,7,2200
1091,27,26-35,36000,Clothing,Jeans,Pepe,6,1900
1092,29,26-35,39000,Groceries,Butter,Amul,8,280
1093,30,26-35,42000,Electronics,Speaker,UltimateEars,5,15000
1094,32,26-35,45000,Home Decor,WallShelf,IKEA,6,1200
1095,34,26-35,48000,Clothing,Trousers,PeterEngland,7,2200
1096,35,26-35,51000,Electronics,Monitor,Acer,5,9000
1097,37,36-50,54000,Groceries,Chocolate,KitKat,8,60
1098,39,36-50,57000,Home Decor,Lamp,IKEA,6,800
1099,40,36-50,60000,Clothing,Jacket,Columbia,5,5800
1100,42,36-50,63000,Electronics,Keyboard,Razer,4,4500
1101,44,36-50,66000,Groceries,IceCream,Amul,7,250
1102,45,36-50,69000,Home Decor,Rug,HomeTown,5,2800
1103,47,36-50,72000,Clothing,FormalShirt,AllenSolly,6,3100
1104,49,36-50,75000,Electronics,Smartwatch,Garmin,4,22000
1105,51,50+,77000,Groceries,Honey,Natural,7,320
1106,53,50+,79000,Home Decor,Curtains,Portico,5,3400
1107,55,50+,81000,Clothing,Blazer,BlackBerry,4,6000
1108,57,50+,83000,Electronics,Projector,Epson,3,35000
1109,59,50+,85000,Groceries,Tea,Tetley,8,280
1110,61,50+,87000,Clothing,Jeans,Wrangler,5,2400
1111,63,50+,89000,Home Decor,Candles,Yankee,6,1200
1112,65,50+,91000,Electronics,Radio,Philips,4,1800
1113,67,50+,93000,Groceries,Sauce,Heinz,7,190
1114,19,18-25,27000,Clothing,Hoodie,H&M,8,1600
1115,21,18-25,29000,Electronics,Charger,Anker,7,900
1116,23,18-25,31000,Groceries,Chips,Lays,9,60
